Temperature,Humidity,AQI,Season,air_pressure,Cocoon_SuccessRate
20.7813209,65.65859411,50.95867342,Winter,1018.500407,0.617
24.08619542,80.96082872,68.06470778,Rainy,1015.293326,0.767
21.77660566,77.15726422,148.9305547,Winter,1017.035766,0.592
21.71084776,73.64988333,67.30503735,Winter,1018.933206,0.648
25.77206402,77.22465756,110.2321307,Rainy,1014.071819,0.767
22.9794417,64.93665322,100.5467644,Winter,1017.000959,0.739
23.38622135,63.82116977,57.65890327,Winter,1014.863184,0.728
33.34124675,66.12709455,97.546326,Summer,1008.37254,0.464
34.1286609,66.69320187,194.669519,Stress,1006.802082,0
28.56268122,60.88044593,71.45576591,Rainy,1012.27934,0.741
21.10833277,64.77285017,190.207972,Stress,1018.325832,0.048
23.48322486,80.97769997,62.4064957,Rainy,1015.589548,0.778
20.46644088,76.63520228,148.1744077,Winter,1018.609889,0.55
29.47068337,71.76757817,104.1122047,Summer,1012.150602,0.586
26.03130992,81.58622275,159.1883671,Rainy,1015.266315,0.688
34.85307109,81.18014313,86.59934875,Rainy,1007.939767,0.578
20.65569738,79.20380146,194.3311408,Stress,1017.447229,0.018
29.15543642,67.84813038,106.1492801,Summer,1012.609715,0.592
29.32393855,64.53732816,103.7656521,Summer,1010.878073,0.609
31.27612846,64.4637851,78.18401017,Summer,1009.594899,0.543
33.35531041,64.29428818,178.0234735,Rainy,1009.141753,0.539
25.20008616,75.49413485,69.13412468,Rainy,1015.024583,0.767
33.50753779,69.16184806,135.6488423,Summer,1008.833071,0.42
33.09233135,84.0055395,100.9945413,Rainy,1009.534767,0.642
29.20182876,71.18594919,73.70463034,Summer,1011.417164,0.603
20.43302998,80.6613765,117.0218563,Rainy,1018.174104,0.653
24.16527315,69.24471924,195.5583049,Stress,1016.025064,0.084
21.10626117,79.86438871,136.6130505,Winter,1018.258536,0.587
20.91047776,69.34976885,96.04282979,Winter,1017.658746,0.621
20.99719127,77.83154824,125.1796703,Winter,1019.086731,0.6
30.29046701,71.92109463,186.1946423,Stress,1010.265695,0.059
31.51318375,71.92910179,132.8922889,Summer,1010.372775,0.484
30.28986601,65.91994774,192.8358282,Stress,1012.297751,0.052
27.12816511,76.21752469,135.1976463,Transitional,1014.089174,0.542
25.63743028,83.49199349,94.6580728,Rainy,1015.477589,0.767
22.28505341,63.82614622,118.2030443,Winter,1016.817979,0.663
28.6001671,66.79726179,57.87469736,Rainy,1011.641865,0.777
22.01470808,66.37637227,83.10228485,Winter,1017.01763,0.658
23.58741604,61.02651418,99.15091864,Winter,1015.143292,0.685
